Threshold,Precision,Recall,F1,MCC,FPR,FNR,TN,FP,FN,TP
0.81,0.3581,0.1376,0.1988,0.1822,0.0217,0.8624,33188,735,2569,410
0.82,0.3763,0.1255,0.1883,0.1805,0.0183,0.8745,33303,620,2605,374
0.83,0.393,0.1128,0.1753,0.1765,0.0153,0.8872,33404,519,2643,336
0.84,0.4025,0.0957,0.1546,0.1652,0.0125,0.9043,33500,423,2694,285
0.85,0.4194,0.0829,0.1385,0.1583,0.0101,0.9171,33581,342,2732,247
0.86,0.4508,0.0692,0.1199,0.1521,0.0074,0.9308,33672,251,2773,206
0.87,0.4846,0.0581,0.1037,0.1465,0.0054,0.9419,33739,184,2806,173
0.88,0.5054,0.047,0.086,0.1356,0.004,0.953,33786,137,2839,140
0.89,0.4877,0.0332,0.0622,0.1111,0.0031,0.9668,33819,104,2880,99
0.9,0.5403,0.0225,0.0432,0.098,0.0017,0.9775,33866,57,2912,67
0.91,0.5926,0.0161,0.0314,0.0881,0.001,0.9839,33890,33,2931,48
0.92,0.6481,0.0117,0.0231,0.0797,0.0006,0.9883,33904,19,2944,35
0.93,0.75,0.007,0.014,0.0677,0.0002,0.993,33916,7,2958,21
0.94,0.6667,0.0027,0.0053,0.0388,0.0001,0.9973,33919,4,2971,8
0.95,0.5,0.0007,0.0013,0.016,0.0001,0.9993,33921,2,2977,2
